,Unnamed: 0,Offense Parent Group,month,crime_rate,parent_count
0,0,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2018-01,78.2,553
1,1,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2018-02,70.14,496
2,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2018-03,72.97,516
3,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2018-04,74.1,524
4,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2018-05,90.5,640
5,5,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2018-06,81.45,576
6,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2018-07,85.98,608
7,7,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2018-08,75.94,537
8,8,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2018-09,77.21,546
9,9,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2018-10,79.76,564
10,10,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2018-11,79.05,559
11,11,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2018-12,76.93,544
12,12,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2019-01,75.81,548
13,13,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2019-02,51.46,372
14,14,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2019-03,69.17,500
15,15,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2019-04,69.86,505
16,16,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2019-05,69.44,502
17,17,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2019-06,63.77,461
18,18,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2019-07,73.59,532
19,19,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2019-08,77.33,559
20,20,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2019-09,65.43,473
21,21,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2019-10,60.31,436
22,22,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2019-11,67.23,486
23,23,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2019-12,61.84,447
24,24,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-01,62.32,461
25,25,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-02,52.18,386
26,26,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-03,67.05,496
27,27,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-04,74.76,553
28,28,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-05,75.3,557
29,29,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-06,74.22,549
30,30,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-07,85.98,636
31,31,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-08,81.11,600
32,32,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-09,91.25,675
33,33,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-10,93.28,690
34,34,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-11,73.27,542
35,35,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-12,72.73,538
36,36,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2021-01,70.42,533
37,37,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2021-02,64.34,487
38,38,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2021-03,71.74,543
39,39,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2021-04,62.49,473
40,40,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2021-05,75.18,569
41,41,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2021-06,81.65,618
42,42,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2021-07,89.97,681
43,43,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2021-08,90.9,688
44,44,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2021-09,86.27,653
45,45,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2021-10,95.26,721
46,46,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2021-11,88.78,672
47,47,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2021-12,87.86,665
48,48,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2022-01,80.83,626
49,49,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2022-02,83.15,644
